phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.0010732303629811496,0.000904591909963224,240.0,4,young
True,0.0004073109661014622,5.059693828049702e-05,240.0,4,young
True,0.00019348085855884535,0.00011412664068586109,240.0,4,young
True,0.0002914841274623925,0.0009741058027568557,240.0,4,young
True,0.006144135002323273,0.0017525483665333512,540.0,6,young
True,2.0993413531702707e-05,2.682623086688787e-05,240.0,4,young
True,0.004699491902740646,0.0005316378793962797,300.0,5,young
True,0.02631900249927332,0.0028794087770857594,360.0,6,young
True,111.80713200591774,3.4321199030233434,4100.625,6,young
True,0.0003758307342466208,0.000698972799904344,240.0,4,young
True,0.001110818361407112,0.0019362106523210512,240.0,4,young
True,0.04481353664081479,0.0031304561501401614,300.0,5,young
True,0.020071960555926464,0.021457450219062077,240.0,4,young
True,0.001079772880444731,0.0005067286074210186,240.0,4,young
True,0.00023529049962171784,8.511502237888047e-05,240.0,4,young
True,4.320216452963484e-05,0.00010598630333920832,240.0,4,young
False,44.454287613921,13.381393667592306,240.0,4,young
True,0.002980821686592969,0.00133461147475272,240.0,4,young
False,18.161281921612513,2.663834129811309,450.0,5,young
True,0.00048105298381702344,0.0003071890947089599,240.0,4,young
True,0.003956881129853844,0.0012630656353342178,240.0,4,young
True,16.11327910448968,0.18020927873538248,360.0,6,young
True,3.27611358629513,0.42813218320487517,240.0,4,young
True,0.0012805951848484259,0.0031638847092460513,240.0,4,young
True,0.03296530333908426,0.003188876343013908,300.0,5,young
True,0.0006474038159465774,0.0005063823567345014,300.0,5,young
True,3.16152181302392e-05,6.97287519354835e-05,240.0,4,young
True,0.01978334555202308,0.0038030769291777363,810.0,6,young
False,15.502147129082761,36.36520163455388,180.0,3,young
False,0.09400113020731592,0.20786701161725413,240.0,4,young
True,0.152921589255318,0.013830214724160156,300.0,5,young
True,0.4675993722989989,0.06705364121414531,300.0,5,young
True,116.08176700438351,6.124096810371483,240.0,4,young
True,0.10523422422385668,0.023871813189878043,240.0,4,young
True,0.5094172827706421,0.05316595063892619,240.0,4,young
True,0.10631008786464831,0.012680211767372893,300.0,5,young
True,0.002178955515730768,0.00033272529466664663,240.0,4,young
True,0.0004299285936314838,0.0003772850338208684,300.0,5,young
True,2.119948850566445,0.41662315800224686,240.0,4,young
True,0.0038887626533500416,0.002546283765584014,240.0,4,young
True,0.00999598559628998,0.0037393660427439677,240.0,4,young
True,4.356635347506764e-06,2.560422864800861e-05,240.0,4,young
True,0.003224419873067274,0.0028913672836821443,240.0,4,young
True,0.051130988531680126,0.005315856779848874,240.0,4,young
True,4.8240765515400593e-05,1.0200304346475733e-05,240.0,4,young
True,0.0001968089927861839,4.010594258332055e-05,240.0,4,young
True,0.0018891061507852274,0.0004892107230611093,300.0,5,young
True,6.180358122742522e-07,7.239627909756783e-07,240.0,4,young
True,5.22969561803707e-05,4.3376802946299896e-05,300.0,5,young
True,0.004501610746729951,0.002498339334998504,300.0,5,young
