mass_1_source,mass_2_source,a_1,a_2,final_mass_source,final_spin,redshift,cos_tilt_1,cos_tilt_2,chi_eff,chi_p,cos_theta_jn,phi_jl,log_likelihood
135.4744195164472,64.96368896733786,0.9013166879638634,0.9115745941215384,190.86429903722689,0.818972590639838,0.543662018843676,0.47834873379055687,0.21291652290851926,0.354312356062027,0.7915092450687241,0.9834130148241995,2.2017247238537005,246.60594826324603
154.4366173737078,83.44810284730983,0.8535162124762763,0.4117287277325857,227.58381779158054,0.7629370857551424,0.2677924467838025,0.04214491636377495,0.700821155595659,0.12457335083899392,0.8527578704087467,0.7249853957041005,2.039274557610377,246.67331483962687
138.36644145302682,57.44541251410297,0.8866652470846842,0.7445152015646817,187.65435955910016,0.8576752544868939,0.6526659578612343,0.42702669784422,-0.1013561696979185,0.2454128668014427,0.8017573111687013,0.9374758256015567,0.8328935441048614,246.67630527233297
121.94528912639979,73.14185717469202,0.8883561894859501,0.20786431690674287,186.83869431501702,0.7237322256611862,0.46972311044307513,-0.12954206045447259,0.9698542347322606,0.003648916627680109,0.8808708362196708,0.5992614564545291,3.002164230403675,246.6810036140179
140.02047795072497,60.779789548708145,0.9731452716622562,0.059620906911132594,190.58501635299476,0.8886394439882026,0.6089812322958602,0.612584952015725,0.8797787775137794,0.4315685661226227,0.7691786499274448,0.6650729882461489,0.22887508496718492,246.6835568611183
126.31977387796594,49.42495640771588,0.9018871847293234,0.1387270870200147,169.81166217079564,0.7591914232302526,0.6424375706665869,0.07860772443640401,-0.008575759461783062,0.0506227286478632,0.8990964077992841,0.8355835468459869,3.764576978231574,246.6858594350421
158.26112895150848,68.84952623637243,0.9501611947190717,0.6870767209690695,216.3091359821919,0.8727387014278413,0.46766282090131783,0.5879843541764107,-0.06830709414381746,0.37508611610788645,0.7685590718455825,0.6490046710257845,6.229473105938689,246.69201052312465
142.4572169690063,60.7826854488315,0.9365839801899771,0.534931745037716,194.68855484591523,0.8574708819756762,0.49148557380469376,0.35422003490627824,0.2674017940193366,0.2753180373603946,0.875857848548445,0.958423349582101,0.5756326637372341,246.7053314699773
132.55003370722943,90.1431549059285,0.8923180168770571,0.2926379278262211,212.17882002913373,0.753454246274608,0.2816901676050873,0.13493843846618644,0.10076585915031332,0.08360479271321583,0.8841568621147068,-0.34391544245877975,4.134079962752105,246.70747985219342
164.4792530918426,61.30408990549906,0.859725918188893,0.2738149215565532,217.65561966430093,0.7876411281815718,0.32465227736212543,0.2764044733211836,0.4083503537388662,0.20346986918525767,0.8262321976234777,0.9294353567544054,1.1683407330669768,246.7139908820378
147.37712625680044,59.397954487575284,0.9268480077742373,0.368946824362341,197.40217872725594,0.8751663132120086,0.5843897073366828,0.5160237325040117,0.6391042284846067,0.4086210362243082,0.793914170520155,-0.6045003779717112,2.9019112312199145,246.72275910164092
140.83610199713718,54.13157733538882,0.9195264271697117,0.8039968559267802,187.52857479606502,0.8107526465179541,0.591500183803109,0.3371710503812737,0.22839038534275646,0.2749400269870901,0.8656820895892017,0.946390346760878,5.9900031707480395,246.7806865553466
158.78879191970802,68.76836251682906,0.9555144096897114,0.3653539909553891,216.94580295945352,0.8755637325237462,0.4197526111001392,0.5696532280700801,-0.5307549282791065,0.32121826704025225,0.7853231039110491,0.5002528419036462,5.586808456893342,246.81390646770708
145.04100938894794,57.43703450853867,0.9018061196818595,0.1468190898658605,195.1096044763922,0.7842164722222726,0.4831446843069237,0.18288973078962228,0.4818573260134678,0.13821351500729157,0.8865957460172964,0.8581324399667946,3.516441106723474,246.81501715430986
145.00541182353243,60.79444066828455,0.9389588522728778,0.2459278615897123,196.08342472625307,0.8674066454881822,0.5539372288663054,0.518321868769124,0.9219706924193593,0.40989379388836905,0.8029841058753507,0.6631075373846509,0.48890837301855067,246.8480439610457
149.70482559211132,34.48809913343712,0.9450261617683128,0.05114118540466835,178.20423949354245,0.9134301787244387,0.7421481819659628,0.6488231017349106,0.21641240491618988,0.5004205964509718,0.7191075238932241,0.883105604742477,4.886040130255808,246.87886481282217
144.7741500386372,49.01192445221666,0.8871720243333882,0.03569376472152379,186.39582370016248,0.8473828693386762,0.6629367263298347,0.4997455023295065,-0.758856794698297,0.3243759446759007,0.768443822372456,0.8879288934126315,0.7400055702973443,246.88283218149263
169.72598635444834,59.28945533787429,0.9741514967060211,0.16237500953819156,217.64371453614623,0.9160965871551929,0.43229872422122106,0.7432422092142491,-0.5628192674022492,0.5129281228730986,0.6517292063189001,0.5895971847997372,5.909763703236222,246.88756959854385
150.25835207787716,57.05686600517758,0.951864497005406,0.34638522552056855,198.05545136358188,0.8919612684710686,0.6164718506700446,0.5702093315633017,0.15406934026880673,0.4080718271073624,0.7819561444546265,0.8441519841351898,5.846058292736793,246.89934841230607
125.95356734575931,58.869109347104974,0.9333192141701316,0.5278203695824301,177.25783755112616,0.7721408760366715,0.6384541579805596,0.1072148611032263,0.7431971514691953,0.1931391065681183,0.9279394448139074,0.9184077002349837,0.4984633304962747,246.9130797969633
132.3811759941528,55.15260610010873,0.9881716365399437,0.9070710989844933,179.6825899260035,0.8470543346019457,0.6916996229189962,0.3708266519296104,-0.3306422089791915,0.1704688054150145,0.9177170759698562,-0.935631255307088,0.4194452065927265,246.93270242458263
160.53155094142025,61.389928697347315,0.8475914986572941,0.45179980367725686,211.80782779608157,0.8537428047680957,0.42553549241679745,0.5673435533611383,0.9789718835120702,0.47020425620724415,0.6979756673606986,0.7293527049954367,0.10858906294391907,246.9339390365176
134.56311434949976,54.870030442076626,0.9011239887670215,0.0820229543697889,182.2883018091331,0.7994024220355861,0.5772008862855712,0.23274215516438654,0.2304598063900855,0.15445590509769985,0.8763777516069461,0.8596012365870089,6.068936922255032,246.99697003882977
131.1082006920414,41.12177127795051,0.9524158367899725,0.6344116619714061,164.97421870659383,0.9008462145466604,0.8381043861328166,0.5956008993061062,0.8676376742029538,0.5632437072519619,0.7650570737732049,0.9399740565677495,0.765478576844372,246.99835707654265
150.42857543253518,52.4422621615981,0.9693042740670069,0.8121004080723976,194.12892408153002,0.8753349456818005,0.630884747921504,0.5196665967448859,0.25579298383358845,0.4272025903702652,0.8281436595112966,0.969037980876372,5.485599414136866,247.00032828799826
131.15381867763054,59.94654014356802,0.9164006910190363,0.6884711387257205,183.15412815582158,0.8355505797278592,0.6005733791128339,0.20504882886083128,0.37965483931951194,0.21095521110989113,0.8969287751929814,0.5967892325986246,5.8707841351632535,247.0414520811228
131.73844620967196,47.93997067104014,0.9638705167196849,0.7100005727919823,172.92531796849678,0.8407014743402362,0.6562559456283646,0.24027371644813617,0.48869147297637244,0.2623768641986984,0.9356341008003985,-0.9120072088108263,5.101808926281941,247.04336002316512
139.0185679344478,56.351204509549014,0.8961076464823061,0.12356823940640327,186.76275292906072,0.849932333211505,0.6071754251839383,0.4948806413540656,0.9600224354105368,0.34977212397333063,0.7786825611676735,0.7639384775403566,0.35293036118691073,247.0576853330301
159.85257651432292,50.515796091687186,0.943444378488956,0.28166803949797026,202.10203124646912,0.8918012097030088,0.5446308914394793,0.5857495026822733,-0.5719693660898182,0.3812345436394758,0.7646542597562115,0.869936593268672,0.12785873795574812,247.0629621798955
133.8107687348486,64.99349460509097,0.9446135976554422,0.6471481923503335,189.55234820050399,0.8412027300574548,0.5428076978459486,0.4504343499205223,-0.4380008007601393,0.19371901006487932,0.8433600430782925,0.9029138543593441,2.857127470779852,247.09305085022393
144.51541149441684,43.58118529675034,0.88664672098357,0.46137609940142166,180.56938818353152,0.8755584549808638,0.6712985077212155,0.6714149791264107,0.3677130249156542,0.49668568540791375,0.6570775634104918,0.8837995667292421,5.329658172470322,247.09520132000296
124.3045991955321,61.84623649570072,0.8864722312146555,0.44189456929370585,177.8884962841516,0.8002041989364717,0.6662667703355779,0.32618346064468257,0.1569492062417811,0.21612764337523882,0.8379879486671213,0.9227268284869845,2.812524588432654,247.1541178173668
172.61918828974564,60.49585105290098,0.928340861939846,0.02386627436516286,224.51510952692348,0.8425178505096186,0.3216112233689949,0.37968235487121954,0.8312770987994752,0.26615225635088857,0.8588238357615884,0.9028510648109644,5.222519545211695,247.15583316490623
121.99492522791404,50.746144370626745,0.9813451408895473,0.0703485765085271,165.36444811670447,0.86079744304688,0.7629036158874571,0.4059389465427315,0.09500888971248399,0.2833016519250953,0.8968515184446743,0.9833361494858411,0.6646295658391964,247.17023547054006
127.61433279108418,54.095489467098105,0.9357539972341086,0.0024103379673818637,173.65740339513442,0.851641747599885,0.7055580996657722,0.4645699626072907,-0.22048038918993326,0.30514675693732807,0.8286442440227485,0.9808590545704954,5.108003319417881,247.1840640714566
